epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,455.661,1.14137,1.44955,1.44371,0.62682,0.51698,0.58374,0.32067,1.50032,2.01747,2.0817,0.000360588,0.000360588,0.000360588
2,870.704,1.09356,1.35993,1.3861,0.56523,0.58162,0.61909,0.35378,1.55197,1.81235,2.14394,0.000586199,0.000586199,0.000586199
3,1271.43,1.17601,1.35768,1.47774,0.69172,0.49712,0.57259,0.34895,1.54403,1.86656,2.14692,0.000665158,0.000665158,0.000665158
4,1657.41,1.17026,1.26305,1.44136,0.67085,0.60762,0.66466,0.36701,1.56677,1.74216,2.11224,0.000451066,0.000451066,0.000451066
5,2059.81,1.13995,1.21558,1.40255,0.67144,0.67458,0.7039,0.44195,1.3482,1.40796,1.8957,0.000231088,0.000231088,0.000231088
