epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.91,1.3752,3.0388,1.71095,0.36112,0.50097,0.39766,0.18659,1.45932,3.88355,2.07143,0.000360588,0.000360588,0.000360588
2,664.045,1.28287,2.1879,1.55952,0.48533,0.40669,0.35776,0.17432,1.86881,4.81026,2.72418,0.000586199,0.000586199,0.000586199
3,1011.63,1.28732,1.86875,1.56872,0.6081,0.54225,0.54335,0.29328,1.53679,2.59691,2.24861,0.000665158,0.000665158,0.000665158
4,1367.96,1.26299,1.59167,1.53861,0.5283,0.63646,0.65597,0.38563,1.41883,1.7479,2.00413,0.000451066,0.000451066,0.000451066
5,1726.77,1.22657,1.45693,1.45526,0.68924,0.56257,0.7007,0.44048,1.38015,1.69157,1.89631,0.000231088,0.000231088,0.000231088
