epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,482.17,1.0674,1.09959,1.36934,0.75697,0.60267,0.69128,0.43881,1.39679,1.32575,1.88221,0.00026664,0.00026664,0.00026664
2,889.089,1.13966,1.14481,1.40207,0.6887,0.54413,0.6429,0.40833,1.4101,1.54618,2.0505,0.000436601,0.000436601,0.000436601
3,1300.1,1.03167,1.0735,1.36622,0.69955,0.58332,0.66423,0.38902,1.49354,1.56954,2.10324,0.000496573,0.000496573,0.000496573
4,1686.83,1.08326,1.05694,1.37489,0.69963,0.6902,0.71504,0.41269,1.48303,1.52218,2.07668,0.000446555,0.000446555,0.000446555
5,2105.37,1.04631,0.98112,1.32747,0.78738,0.74967,0.79,0.48897,1.38824,1.23656,1.88492,0.000231088,0.000231088,0.000231088
